#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.CategoryDoppelBelegstelle|DoppelBelegstelleValue
#T_SP=webanno.custom.CategoryKE|KEValue
#T_SP=webanno.custom.CategoryKEE|KEEValue
#T_SP=webanno.custom.CategoryLEMMA|LEMMAValue
#T_SP=webanno.custom.CategoryMetaCorpusID|MetaCorpusIDValue
#T_SP=webanno.custom.CategoryMetaDate|MetaDateValue
#T_SP=webanno.custom.CategoryMetaLContext|MetaLContextValue
#T_SP=webanno.custom.CategoryMetaRContext|MetaRContextValue
#T_SP=webanno.custom.CategoryMetaSource|MetaSourceValue
#T_SP=webanno.custom.CategoryName|NameValue
#T_SP=webanno.custom.CategoryPOS|POSValue
#T_SP=webanno.custom.GF|GFDesc
#T_SP=webanno.custom.PT|PTDesc


#Text=Jede Seite schildert das Geschehen aus ihrer Perspektive , Aussage steht gegen Aussage .
1-1	0-4	Jede	_	_	_	jede	1-1	18.09.2017	Es ist schwierig, unabhängige Informationen über Rettungsaktionen zu erhalten.	Wie glaubwürdig die Zeugen sind, lässt sich nur schwer prüfen.	Die Zeit, 18.09.2017, Nr. 38	_	PIAT	NK[23]	CS[44]|S[45]|NP[46]|PIAT[47]	
1-2	5-10	Seite	_	_	_	Seite	1-2	_	_	_	_	_	NN	NK[23]	CS[44]|S[45]|NP[46]|NN[48]	
1-3	11-20	schildert	_	_	_	schildern	1-3	_	_	_	_	_	VVFIN	HD	CS[44]|S[45]|VVFIN[49]	
1-4	21-24	das	_	_	_	die	1-4	_	_	_	_	_	ART	NK[24]	CS[44]|S[45]|NP[50]|ART[51]	
1-5	25-34	Geschehen	_	_	_	Geschehen	1-5	_	_	_	_	_	NN	NK[24]	CS[44]|S[45]|NP[50]|NN[52]	
1-6	35-38	aus	_	_	_	aus	1-6	_	_	_	_	_	APPR	AC	CS[44]|S[45]|PP[53]|APPR[54]	
1-7	39-44	ihrer	_	_	_	ihr	1-7	_	_	_	_	_	PPOSAT	NK[25]	CS[44]|S[45]|PP[53]|PPOSAT[55]	
1-8	45-56	Perspektive	_	_	_	Perspektive	1-8	_	_	_	_	_	NN	NK[25]	CS[44]|S[45]|PP[53]|NN[56]	
1-9	57-58	,	_	_	_	,	1-9	_	_	_	_	_	$,		CS[44]|$,[57]	
1-10	59-66	Aussage	_	Vor\_Präp	_	Aussage	1-10	_	_	_	_	N1\_gegen\_N1	NN	NK	CS[44]|S[58]|NP[59]|NN[60]	
1-11	67-72	steht	_	_	_	stehen	1-11	_	_	_	_	_	VVFIN	HD	CS[44]|S[58]|VVFIN[61]	
1-12	73-78	gegen	_	_	*	gegen	1-12	_	_	_	_	N1\_gegen\_N1[9]	APPR	AC	CS[44]|S[58]|PP[62]|APPR[63]	
1-13	79-86	Aussage	_	Nach\_Präp	_	Aussage	1-13	_	_	_	_	N1\_gegen\_N1[9]	NN	NK	CS[44]|S[58]|PP[62]|NN[64]	
1-14	87-88	.	_	_	_	.	1-14	_	_	_	_	_	$.		$.	

#Text=Es lässt sich nicht recherchieren , was in der Nacht wirklich passiert ist , Aussage steht gegen Aussage .
2-1	89-91	Es	_	_	_	es	2-1	14.06.2017	Meier sagt, er sei fassungslos gewesen.	Meier und Wuppert heißen eigentlich anders, sie bitten darum, dass nicht ihre echten Namen verwendet werden.	Die Zeit, 14.06.2017, Nr. 22	_	PPER	PH	CS[65]|S[66]|NP[67]|PPER[68]	
2-2	92-97	lässt	_	_	_	lassen	2-2	_	_	_	_	_	VVFIN	HD	CS[65]|S[66]|VVFIN[69]	
2-3	98-102	sich	_	_	_	sich	2-3	_	_	_	_	_	PRF	OA	CS[65]|S[66]|PRF[70]	
2-4	103-108	nicht	_	_	_	nicht	2-4	_	_	_	_	_	PTKNEG	NG	CS[65]|S[66]|PTKNEG[71]	
2-5	109-122	recherchieren	_	_	_	recherchieren	2-5	_	_	_	_	_	VVINF	HD	CS[65]|S[66]|VP[72]|VVINF[73]	
2-6	123-124	,	_	_	_	,	2-6	_	_	_	_	_	$,	OC	CS[65]|S[66]|VP[72]|$,[74]	
2-7	125-128	was	_	_	_	was	2-7	_	_	_	_	_	PRELS	SB	CS[65]|S[66]|VP[72]|S[75]|PRELS[76]	
2-8	129-131	in	_	_	_	in	2-8	_	_	_	_	_	APPR	AC	CS[65]|S[66]|VP[72]|S[75]|VP[77]|PP[78]|APPR[79]	
2-9	132-135	der	_	_	_	die	2-9	_	_	_	_	_	ART	NK[26]	CS[65]|S[66]|VP[72]|S[75]|VP[77]|PP[78]|ART[80]	
2-10	136-141	Nacht	_	_	_	Nacht	2-10	_	_	_	_	_	NN	NK[26]	CS[65]|S[66]|VP[72]|S[75]|VP[77]|PP[78]|NN[81]	
2-11	142-150	wirklich	_	_	_	wirklich	2-11	_	_	_	_	_	ADJD	MO	CS[65]|S[66]|VP[72]|S[75]|VP[77]|ADJD[82]	
2-12	151-159	passiert	_	_	_	passieren	2-12	_	_	_	_	_	VVPP	HD[27]	CS[65]|S[66]|VP[72]|S[75]|VP[77]|VVPP[83]	
2-13	160-163	ist	_	_	_	sein	2-13	_	_	_	_	_	VAFIN	HD[27]	CS[65]|S[66]|VP[72]|S[75]|VAFIN[84]	
2-14	164-165	,	_	_	_	,	2-14	_	_	_	_	_	$,		CS[65]|$,[85]	
2-15	166-173	Aussage	_	Vor\_Präp	_	Aussage	2-15	_	_	_	_	N1\_gegen\_N1	NN	NK	CS[65]|S[86]|NP[87]|NN[88]	
2-16	174-179	steht	_	_	_	stehen	2-16	_	_	_	_	_	VVFIN	HD	CS[65]|S[86]|VVFIN[89]	
2-17	180-185	gegen	_	_	*	gegen	2-17	_	_	_	_	N1\_gegen\_N1[10]	APPR	AC	CS[65]|S[86]|PP[90]|APPR[91]	
2-18	186-193	Aussage	_	Nach\_Präp	_	Aussage	2-18	_	_	_	_	N1\_gegen\_N1[10]	NN	NK	CS[65]|S[86]|PP[90]|NN[92]	
2-19	194-195	.	_	_	_	.	2-19	_	_	_	_	_	$.		$.	

#Text=Aussage steht gegen Aussage , die Beweislast liegt bei Valchev , doch der hat keine Zeugen .
3-1	196-203	Aussage	_	Vor\_Präp	_	Aussage	3-1	27.02.2014	Still dagesessen sei er, mit seinem Schild und einem Pappbecher, sonst nichts.	Die Polizisten hätten ihn mitgenommen, erzählt Valchev, im Polizeikommissariat hätten sie ihn aufgefordert, sich auszuziehen, bis auf die Unterhose.	Die Zeit, 27.02.2014, Nr. 10	N1\_gegen\_N1	NN	NK	CS[93]|S[94]|NP[95]|NN[96]	
3-2	204-209	steht	_	_	_	stehen	3-2	_	_	_	_	_	VVFIN	HD	CS[93]|S[94]|VVFIN[97]	
3-3	210-215	gegen	_	_	*	gegen	3-3	_	_	_	_	N1\_gegen\_N1[11]	APPR	AC	CS[93]|S[94]|PP[98]|APPR[99]	
3-4	216-223	Aussage	_	Nach\_Präp	_	Aussage	3-4	_	_	_	_	N1\_gegen\_N1[11]	NN	NK	CS[93]|S[94]|PP[98]|NN[100]	
3-5	224-225	,	_	_	_	,	3-5	_	_	_	_	_	$,		CS[93]|$,[101]	
3-6	226-229	die	_	_	_	die	3-6	_	_	_	_	_	ART	NK[28]	CS[93]|S[102]|NP[103]|ART[104]	
3-7	230-240	Beweislast	_	_	_	Beweislast	3-7	_	_	_	_	_	NN	NK[28]	CS[93]|S[102]|NP[103]|NN[105]	
3-8	241-246	liegt	_	_	_	liegen	3-8	_	_	_	_	_	VVFIN	HD	CS[93]|S[102]|VVFIN[106]	
3-9	247-250	bei	_	_	_	bei	3-9	_	_	_	_	_	APPR	AC	CS[93]|S[102]|PP[107]|APPR[108]	
3-10	251-258	Valchev	_	_	_	Valchev	3-10	_	_	_	_	_	NE	NK	CS[93]|S[102]|PP[107]|NE[109]	
3-11	259-260	,	_	_	_	,	3-11	_	_	_	_	_	$,		CS[93]|$,[110]	
3-12	261-265	doch	_	_	_	doch	3-12	_	_	_	_	_	KON	CD	CS[93]|KON[111]	
3-13	266-269	der	_	_	_	die	3-13	_	_	_	_	_	PDS	SB	CS[93]|S[112]|PDS[113]	
3-14	270-273	hat	_	_	_	haben	3-14	_	_	_	_	_	VAFIN	HD	CS[93]|S[112]|VAFIN[114]	
3-15	274-279	keine	_	_	_	keine	3-15	_	_	_	_	_	PIAT	NK[29]	CS[93]|S[112]|NP[115]|PIAT[116]	
3-16	280-286	Zeugen	_	_	_	Zeuge	3-16	_	_	_	_	_	NN	NK[29]	CS[93]|S[112]|NP[115]|NN[117]	
3-17	287-288	.	_	_	_	.	3-17	_	_	_	_	_	$.		$.	

#Text=" " Aussage steht gegen Aussage . " "
4-1	289-290	"	_	_	_	"[3]	4-1	21.10.2013	""Es ist nicht erwiesen, dass der Angeklagte der Täter ist"", sagte Verteidiger Urs Kobler in seinem Plädoyer.	Im Alibi der Freundin gebe es Wiedersprüche.	Die Zeit, 21.10.2013 (online)	_	$([17]	NK[30]	S[118]|NP[119]|$([120]	
4-2	291-292	"	_	_	_	"[3]	4-2	_	_	_	_	_	$([17]	NK[30]	S[118]|NP[119]|$([120]	
4-3	293-300	Aussage	_	Vor\_Präp	_	Aussage	4-3	_	_	_	_	N1\_gegen\_N1	NN	NK[30]	S[118]|NP[119]|NN[121]	
4-4	301-306	steht	_	_	_	stehen	4-4	_	_	_	_	_	VVFIN	HD	S[118]|VVFIN[122]	
4-5	307-312	gegen	_	_	*	gegen	4-5	_	_	_	_	N1\_gegen\_N1[12]	APPR	AC	S[118]|PP[123]|APPR[124]	
4-6	313-320	Aussage	_	Nach\_Präp	_	Aussage	4-6	_	_	_	_	N1\_gegen\_N1[12]	NN	NK	S[118]|PP[123]|NN[125]	
4-7	321-322	.	_	_	_	.	4-7	_	_	_	_	_	$.	[31]	$.	
4-8	323-324	"	_	_	_	"[4]	4-8	_	_	_	_	_	$([18]	[31]	$([126]	
4-9	325-326	"	_	_	_	"[4]	4-9	_	_	_	_	_	$([18]	[31]	$([126]	

#Text=Aussage steht gegen Aussage .
5-1	327-334	Aussage	_	Vor\_Präp	_	Aussage	5-1	28.09.2013	Die von Nowack am Spielfeld angesprochenen Spieler ziehen nach einem Bericht derFußballwoche eine Verleumdungsklage in Erwägung.	Am 11. Oktober kommt es nun zur Verhandlung vor dem Sportgericht des Berliner Fußball-Verbandes (BFV).	Die Zeit, 28.09.2013 (online)	N1\_gegen\_N1	NN	NK	S[127]|NP[128]|NN[129]	
5-2	335-340	steht	_	_	_	stehen	5-2	_	_	_	_	_	VVFIN	HD	S[127]|VVFIN[130]	
5-3	341-346	gegen	_	_	*	gegen	5-3	_	_	_	_	N1\_gegen\_N1[13]	APPR	AC	S[127]|PP[131]|APPR[132]	
5-4	347-354	Aussage	_	Nach\_Präp	_	Aussage	5-4	_	_	_	_	N1\_gegen\_N1[13]	NN	NK	S[127]|PP[131]|NN[133]	
5-5	355-356	.	_	_	_	.	5-5	_	_	_	_	_	$.		$.	

#Text=Aussage steht gegen Aussage .
